Index	OTU	2D_ID	Channel_ID	Bottle_ID	Site_ID	Site_ID_1	Plate_ID	Position	Longitude	Latitude	Altitude	Altitude_1	Location	Setup_Site_Date	Distribution	Method	Tag	Collection_Date_formatted	Collection_Date_formatted_1	Year	Month	Collector	Image_File	Reverse_Complement_for_Papara	Sumaclust_97_OTU
1030	TMS|2.0033|Juncole11-58.fas|	144568490	140032	2.0033	14003	14003	JUN_COLE11	E10	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0032 
1031	TMS|2.0033|Juncole15-03.fas|	144568729	140032	2.0033	14003	14003	JUN_COLE15	A03	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0032 
1032	TMS|2.0032|Juncole16-43.fas|	144567947	140022	2.0032	14002	14002	JUN_COLE16	D07	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0352 
1033	TMS|2.0033|Juncole15-21.fas|	144569011	140032	2.0033	14003	14003	JUN_COLE15	B09	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0049 
1034	GLGS11425-17|Chrysomelidae|143503219||Arthropoda|Insecta|Coleoptera|Chrysomelidae|||BOLD:ADI6890	143503219	140032	2.0141	14003	14003	OCT_COLE03	D04	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	31 Oct 2014	31 Oct 2014	2014	10	Zhiguang Yang			OTU_0005 
1035	Juncole11-84	133680545	180022	2.0024	18002	18002	JUN_COLE11	G12	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	13 Jun 2014	13 Jun 2014	2014	6	Zhiguang Yang			OTU_0105 
1036		132946090	140022	2.0038	14002	14002	JULY_COLE03	A02	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang	89_33.jpg		
1037	Aprcole04-91	143502151	180022	2.0288	18002	18002	APR_COLE04	H07	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	17 Apr 2015	17 Apr 2015	2015	4	Zhiguang Yang			OTU_0943 
1038	TMS|2.0045|Julycole14-43.fas|	143523036	140032	2.0045	14003	14003	JULY_COLE14	D07	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	11 Jul 2014	11 Jul 2014	2014	7	Zhiguang Yang			OTU_0050 
1039	GLGS8597-17|Throscidae|132947094||Arthropoda|Insecta|Coleoptera|Throscidae|||BOLD:ADI7730	132947094	140042	2.0040	14004	14004	JULY_COLE01	G05	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0009 
